NAME             TYPE        CLUSTER-IP      EXTERNAL-IP   PORT(S)              AGE
applicants-api   ClusterIP   10.96.243.193   <none>        80/TCP               7h26m
hello-api        ClusterIP   10.96.53.0      <none>        8080/TCP             60m
identity-api     ClusterIP   10.96.211.168   <none>        80/TCP               7h26m
jobs-api         ClusterIP   10.96.206.162   <none>        80/TCP               7h26m
rabbitmq         ClusterIP   10.96.233.27    <none>        5672/TCP,15672/TCP   7h26m
sql-data         ClusterIP   10.96.235.156   <none>        1433/TCP             7h26m
user-data        ClusterIP   10.96.157.63    <none>        6379/TCP             7h26m
webmvc           ClusterIP   10.96.157.222   <none>        80/TCP               7h26m
